Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross,Predicted_Gross,Rating_Score
The Shawshank Redemption,1994.0,A,142,Drama,9.3,80.0,2343110,28341469.0,386976769.0462923,8.65
The Godfather,1972.0,A,175,"Crime, Drama",9.2,100.0,1620367,134966411.0,226335584.56106973,9.6
The Dark Knight,2008.0,UA,152,"Action, Crime, Drama",9.0,84.0,2303232,534858444.0,414297791.2168423,8.7
The Godfather: Part II,1974.0,A,202,"Crime, Drama",9.0,90.0,1129952,57300000.0,133570375.63044274,9.0
12 Angry Men,1957.0,U,96,"Crime, Drama",9.0,96.0,689845,4360000.0,28267207.851665616,9.3
The Lord of the Rings: The Return of the King,2003.0,U,201,"Action, Adventure, Drama",8.9,94.0,1642758,377845905.0,268555535.7521001,9.15
Pulp Fiction,1994.0,A,154,"Crime, Drama",8.9,94.0,1826188,107928762.0,312444317.4930428,9.15
Schindler's List,1993.0,A,195,"Biography, Drama, History",8.9,94.0,1213505,96898818.0,165849374.11744452,9.15
Inception,2010.0,UA,148,"Action, Adventure, Sci-Fi",8.8,74.0,2067042,292576195.0,382360285.1597428,8.100000000000001
Fight Club,1999.0,A,139,Drama,8.8,66.0,1854740,37030102.0,331563380.93924654,7.7
The Lord of the Rings: The Fellowship of the Ring,2001.0,U,178,"Action, Adventure, Drama",8.8,92.0,1661481,315544750.0,285322841.92996323,9.0
Forrest Gump,1994.0,UA,142,"Drama, Romance",8.8,82.0,1809221,330252182.0,320672177.44981754,8.5
"Il buono, il brutto, il cattivo",1966.0,A,161,Western,8.8,90.0,688390,6100000.0,52494087.02032089,8.9
The Lord of the Rings: The Two Towers,2002.0,UA,179,"Action, Adventure, Drama",8.7,87.0,1485555,342551365.0,255517027.6962649,8.7
The Matrix,1999.0,A,136,"Action, Sci-Fi",8.7,73.0,1676426,171479930.0,301186196.641778,8.0
Goodfellas,1990.0,A,146,"Biography, Crime, Drama",8.7,90.0,1020727,46836394.0,144298935.5680474,8.85
Star Wars: Episode V - The Empire Strikes Back,1980.0,UA,124,"Action, Adventure, Fantasy",8.7,82.0,1159315,290475067.0,177458497.71117425,8.45
